vehículo[0]: 0.09912Mbps
vehículo[105]: 24.93428Mbps
vehículo[106]: 0.0952Mbps
vehículo[107]: 24.93484Mbps
vehículo[108]: 24.93428Mbps
vehículo[109]: 24.9354Mbps
vehículo[110]: 24.93512Mbps
vehículo[111]: 24.93596Mbps
vehículo[112]: 19.11224Mbps
vehículo[113]: 24.93484Mbps
vehículo[114]: 24.93568Mbps
vehículo[115]: 24.93456Mbps
vehículo[116]: 0.1582Mbps
vehículo[117]: 0.0952Mbps
vehículo[118]: 24.93512Mbps
vehículo[119]: 24.9354Mbps
vehículo[120]: 0.0826Mbps
vehículo[121]: 17.55544Mbps
vehículo[122]: 24.93512Mbps
vehículo[123]: 24.93484Mbps
vehículo[124]: 0.0952Mbps
vehículo[125]: 24.93456Mbps
vehículo[126]: 24.93568Mbps
vehículo[127]: 24.9354Mbps
vehículo[128]: 24.93456Mbps
vehículo[129]: 24.93484Mbps
vehículo[130]: 24.93512Mbps
vehículo[131]: 24.93456Mbps
vehículo[132]: 24.93484Mbps
vehículo[133]: 24.93456Mbps
vehículo[134]: 24.93512Mbps
vehículo[135]: 24.93456Mbps
vehículo[136]: 24.93484Mbps
vehículo[137]: 24.93428Mbps
vehículo[138]: 24.93484Mbps
vehículo[139]: 24.93428Mbps
vehículo[140]: 24.93568Mbps
vehículo[141]: 24.93568Mbps
vehículo[142]: 24.93456Mbps
vehículo[143]: 24.93512Mbps
vehículo[144]: 24.93568Mbps
vehículo[145]: 24.93484Mbps
vehículo[146]: 24.93456Mbps
vehículo[147]: 24.9354Mbps
vehículo[148]: 24.93512Mbps
vehículo[149]: 24.93512Mbps
vehículo[150]: 24.93484Mbps
vehículo[151]: 24.93512Mbps
vehículo[152]: 24.93512Mbps
vehículo[153]: 24.93456Mbps
vehículo[154]: 24.93456Mbps
vehículo[155]: 0.0952Mbps
vehículo[156]: 24.93456Mbps
vehículo[157]: 24.93568Mbps
vehículo[158]: 24.93456Mbps
vehículo[159]: 24.93568Mbps
vehículo[160]: 24.93456Mbps
vehículo[161]: 24.9354Mbps
vehículo[162]: 24.93596Mbps
vehículo[163]: 24.93512Mbps
vehículo[164]: 24.9354Mbps
vehículo[165]: 24.93512Mbps
vehículo[166]: 24.93428Mbps
vehículo[167]: 24.93596Mbps
vehículo[168]: 24.93484Mbps
vehículo[169]: 24.93568Mbps
vehículo[170]: 24.9354Mbps
vehículo[171]: 24.9354Mbps
vehículo[172]: 24.93456Mbps
vehículo[173]: 24.93512Mbps
vehículo[174]: 24.93428Mbps
vehículo[175]: 24.9354Mbps
vehículo[176]: 24.93484Mbps
vehículo[177]: 24.93568Mbps
vehículo[178]: 24.93596Mbps
vehículo[179]: 24.9354Mbps
vehículo[180]: 24.93484Mbps
vehículo[181]: 24.93512Mbps
vehículo[182]: 24.93456Mbps
vehículo[183]: 24.93456Mbps
vehículo[184]: 24.93484Mbps
vehículo[185]: 24.93568Mbps
vehículo[186]: 0.0Mbps
vehículo[187]: 0.0Mbps
vehículo[188]: 0.0Mbps
vehículo[189]: 0.0Mbps
vehículo[190]: 0.0Mbps
vehículo[191]: 0.0Mbps
vehículo[192]: 0.0Mbps
vehículo[193]: 0.0Mbps
vehículo[194]: 0.0Mbps
vehículo[195]: 0.0Mbps
vehículo[196]: 0.0Mbps
vehículo[197]: 0.0Mbps
vehículo[198]: 0.0Mbps
vehículo[199]: 0.0Mbps
vehículo[200]: 0.0Mbps
vehículo[201]: 0.0Mbps
vehículo[202]: 0.0Mbps
vehículo[203]: 0.0Mbps
vehículo[204]: 0.0Mbps
vehículo[205]: 0.0Mbps
Total: 4426.059120000002Mbps
Caben: 178 coches
